author_id,cluster_id
354,4425
354,4426
354,4414
354,4418
20809,4415
23304,4426
23304,4414
23304,4418
23304,4425
47313,4416
52195,4415
57224,4416
73419,4416
79017,4415
87088,4418
87088,4426
169553,4420
184976,4418
184976,4414
184976,4425
184976,4426
243674,4416
275871,4415
291301,4415
309126,4426
309126,4421
439401,4416
439929,4415
493891,4426
493891,4425
493891,4414
493891,4418
505333,4415
576341,4414
576341,4418
576341,4425
576341,4426
610090,4416
676637,4423
718899,4415
730123,4426
730123,4414
730123,4425
730123,4418
837034,4426
837034,4425
837034,4418
837034,4414
899444,4415
903617,4414
903617,4418
903617,4425
903617,4426
947971,4425
980082,4426
1047696,4416
1163175,4425
1163175,4414
1163175,4426
1163175,4418
1231441,4416
1275206,4416
1299636,4428
1299636,4433
1431969,4418
1431969,4425
1431969,4414
1431969,4426
1443911,4415
1538624,4415
1745006,4426
1756505,4414
1756505,4426
1756505,4418
1756505,4425
1787169,4426
1787169,4418
1787169,4425
1787169,4414
1957048,4416
2342749,4414
2342749,4426
2342749,4425
2342749,4418
2352663,4415
2512748,4415
3109072,4415
3262098,4426
3262098,4425
3262098,4414
3262098,4418
3451634,4416
3876739,4414
3876739,4425
3876739,4418
3876739,4426
3900799,4420
3900799,4426
3900799,4418
3900799,4414
3900799,4425
4299420,4415
4333971,4430
4953962,4418
4953962,4414
4953962,4425
4953962,4426
5449021,4426
5449021,4418
5449021,4414
5449021,4425
5595220,4414
5595220,4418
5595220,4425
5595220,4426
5952481,4415
6233452,4425
6233452,4418
6233452,4414
6233452,4426
7063592,4418
7063592,4414
7063592,4425
7063592,4426
7751204,4418
7751204,4425
7751204,4414
7751204,4426
7946809,4433
8061296,4414
8061296,4418
8061296,4426
8061296,4425
8225098,4426
8225098,4425
8225098,4418
8225098,4414
8681801,4414
8681801,4426
8681801,4418
8681801,4425
8822573,4415
10393198,4415
10743879,4430
11657829,4418
11657829,4425
11657829,4414
11657829,4426
13374016,4426
13374016,4414
13374016,4425
13374016,4418
14308438,4418
14308438,4426
14308438,4414
14308438,4425
15881573,4425
15881573,4418
15881573,4420
15881573,4414
15881573,4426
16105680,4425
16105680,4418
16105680,4426
16105680,4420
16105680,4414
18107181,4418
18107181,4425
18107181,4414
18107181,4426
19172805,4426
19172805,4414
19172805,4418
19172805,4425
19844283,4414
19844283,4425
19844283,4426
19844283,4418
20979322,4418
20979322,4426
20979322,4425
20979322,4414
24448061,4425
24448061,4418
24448061,4426
24448061,4414
26879063,4418
26879063,4426
26879063,4425
26879063,4414
